Warning,Rating
A Corner Mullion has been placed at the end of a Curtain Wall that is not joined to another Curtain Wall. The angle of the Corner Mullion will default to 90 degrees.,1
A notch join can only be used when the run end tread is coplanar with the landing tread. Clear the Begin with Riser or End with Riser instance property for the run to use the notch join.,2
A structural framing element is attached to a wall whose Structural Usage is set to Non-bearing.,1
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap.,2
A wall and a room separation line overlap. One of them may be ignored when Revit finds room boundaries. Shorten or delete the room separation line to remove the overlap. You can tab-select one of the overlapping elements to exclude it from the group instance.,2
Actual Number of Risers is different from Desired Number of Risers. Add/remove Risers or change Desired Number of Risers in Stairs Properties.,2
"An elevation symbol references views on more than one sheet. It will show a blank sheet reference. To show the correct references, use a separate elevation symbol for the views on each sheet.",3
Area is not in a properly enclosed region,3
Area separation line is slightly off axis and may cause inaccuracies.,2
Area Tag is outside of its Area.  Enable Leader or move Area Tag within its Area.,1
Beam or Brace is slightly off axis and may cause inaccuracies.,1
Blend is too thin.,2
Can't create geometry for one or more Rails,3
Can't end Stairs with Riser because Riser Thickness is too small.,2
Can't make monolithic Stairs.,3
Conditions for wall embedding are no longer satisfied.,2
Could not create geometry for Room.,3
Could not create Reveal. Failed to properly create all segments. This sweep may not properly miter with neighboring sweeps.,3
Could not create Reveal. Sweep position is outside of its wall. Please check sweep parameters.,3
Could not create Wall Sweep. Sweep position is outside of its wall. Please check sweep parameters.,3
Could not create Wall Sweep. Two wall sweeps are overlapping.,3
Curtain grid lines must have at least one segment,1
Curtain grid lines must have at least one segment.,1
Curve-Based Family is slightly off axis and may cause inaccuracies,1
Curve-Based Family is slightly off axis and may cause inaccuracies.,1
Cuts on concrete members are ignored.,1
E 1: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 2: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 3: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 4: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 5: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 6: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 7: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
E 8: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
Element will be detached from its associated plane,2
Elements do not intersect.,1
"Elements have duplicate ""Mark"" values.",2
"Elements have duplicate ""Name"" values.",2
"Elements have duplicate ""Number"" values.",2
"Elements have duplicate ""Type Mark"" values.",2
Elements have duplicate 'Number' values.,2
Elements have duplicate 'Type Mark' values.,2
Geometry in imported file has extents greater than 20 miles (33km).,3
Grid is slightly off axis and may cause inaccuracies.,2
Highlighted elements are joined but do not intersect.,1
Highlighted floors overlap.,1
Highlighted inserts overlap with other inserts or completely miss their hosts.,3
Highlighted lines overlap. Lines may not form closed loops.,1
Highlighted room separation lines overlap. One of them may be ignored when Revit finds room boundaries. Delete one of the lines.,3
Highlighted room separation lines overlap. One of them may be ignored when Revit finds room boundaries. Delete one of the lines. You can tab-select one of the overlapping elements to exclude it from the group instance.,3
"Highlighted walls are attached to, but miss, the highlighted targets.",2
Highlighted walls overlap. One of them may be ignored when Revit finds room boundaries. Use Cut Geometry to embed one wall within the other or tab-select one of the grouped overlapping walls and exclude it from the group instance.,1
Highlighted walls overlap. One of them may be ignored when Revit finds room boundaries. Use Cut Geometry to embed one wall within the other.,1
Imported model is out of range.,3
Insert conflicts with joined Wall.,1
Instance of in-place family is not cutting host.,2
Landing depth is less than run width.,2
Line in Massing Sketch is slightly off axis and may cause inaccuracies.,2
Line in Sketch is slightly off axis and may cause inaccuracies.,2
Line is slightly off axis and may cause inaccuracies.,2
"Mass contains no solid geometry. Mass Floors, volume, and surface area, won?t be computed.",2
"Mass contains only mesh geometry, which can’t be used to compute Mass Floors, volume, or surface area.",1
Mechanical Exhaust Air 1: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
Mechanical Supply Air 1: It is not possible to calculate the flow since the flow direction mismatch. Please check flow direction on all equipment in this system.,1
"Multiple Areas are in the same enclosed region.  The correct area and perimeter will be assigned to one Area and the others will display ""Redundant Area.""  You should separate the regions, delete the extra Areas, or move them into different regions.",3
"Multiple Rooms are in the same enclosed region.  The correct area and perimeter will be assigned to one Room and the others will display ""Redundant Room.""  You should separate the regions, delete the extra Rooms, or move them into different regions.",3
"No columns are joined to grid lines, or view parameters exclude all columns.",1
No Loss Defined,1
"Notching applied, but no cut was made. Adjust Notching Distance or Extension parameters.",1
One element is completely inside another.,1
Opening partially cuts its host.,2
Property lines do not form a closed loop.  Area will not be computed.,3
Railings are placed completely outside the host. It may change the adjustment of the railing to the host and its vertical position.,1
Rectangular opening doesn't cut its host.,3
Ref Plane is slightly off axis and may cause inaccuracies.,2
Room is not in a properly enclosed region,3
Room separation line is slightly off axis and may cause inaccuracies.,2
Room Tag is outside of its Room.  Enable Leader or move Room Tag within its Room.,1
Room volumes overlap. Adjust the Upper Limit and Limit Offset properties of the Rooms.,3
"Some panels in this curtain system are slightly malformed.  The problem is most likely ignorable. This problem usually occurs when a panel or parts of a panel have been divided so that they are very narrow.  To better see the malformed panels, temporarily hide the mullion category and set display of lines to ""thin lines"" (using the command on the view menu).",1
Spacing for Excess Length Fill is too small.,1
"Stair bottom end exceeds or cannot reach the base elevation of the stair. Add/remove risers at the bottom end by control or change the stair run's ""Relative Base Height"" parameter in the properties palette.",3
Stair bottom end exceeds or cannot reach the base elevation of the stair. Add/remove risers at the bottom end by control or change the stair run's 'Relative Base Height' parameter in the properties palette.,3
Stair components are not continuously connected. This may cause incorrect representation and annotation.,3
"Stair top end exceeds or cannot reach the top elevation of the stair. Add/remove risers at the top end by control or change the stair run's ""Relative Top Height"" parameter in the properties palette.",3
Stair top end exceeds or cannot reach the top elevation of the stair. Add/remove risers at the top end by control or or change the stair run's 'Relative Top Height' parameter in the properties palette.,3
The actual riser height for one or more stairs violates the maximum set in the type.,2
The Actual Riser Height of stair is greater than the Maximum Riser Height specified in the stair type. ,2
The Actual Run Width of one or more runs is less than the Minimum Run Width specified in the stair type.,3
The Actual Tread Depth for one or more Stairs violates the Minimum Depth set in the type.,2
The Actual Tread Depth of stair is less than the Minimum Tread Depth specified in the stair type.,3
The highlighted column can't maintain attachment to the target.  It will be treated as unattached until it can intersect.,2
"The Mass contains geometry that cannot be combined.   Mass Floors, volume, and surface area, won’t be computed.",2
The multistory stair/ramp could not reach its top level with integral number of flights.  Maximum number of flights below the top level is created.,2
"The rail is not continuous.  Breaks in the rail usually occur at sharply-angled transitions. To fix the problem, try:  - Changing the transition style in the rail type properties, or  - Modifying the railing path at the transition.",1
The ramp is not long enough to reach the top constraint plus top offset.  Change the slope or increase the length of the ramp.,2
The ramp is not long enough to reach the top constraint.  Change the slope or increase the length of the ramp. ,2
"The slope of stringer may not parallel runs and landings.  To get a parallel stringer, split boundary lines at the ends of landings.",1
"The slope of stringer may not parallel runs and landings. To get a parallel stringer, split boundary lines at the ends of landings.",2
"The slope of this railing may not parallel the stairs at runs and landings.  To get a parallel railing, split the railing sketch at the ends of landings. ",1
"The slope of this railing will not parallel the ramp at landings.  To get a parallel railing, split the railing sketch at the ends of landings.",2
The template applied to this panel schedule is set to display fewer slots than what is needed to display the maximum number of 1-pole breakers set on the equipment.,1
There are identical instances in the same place. This will result in double counting in schedules.,3
There are identical instances in the same place. This will result in double counting in schedules. You can tab-select one of the overlapping elements to exclude it from the group instance.,3
Thickness of this Floor may be slightly inaccurate due to extreme Shape Editing. Dimensions to this element in sections and details may not accurately indicate the Thickness shown in Type Properties.,1
This array contains multiple copies of some identical geometry. Performance might be improved by using a nested family and arraying copies of its instances.,1
Top reference is below Bottom reference for one or more Balusters. These Balusters are not created.,3
Two elements were not automatically joined because one or both is not editable.,1
Two elements were not automatically joined because other elements at join are not editable.,1
Wall is slightly off axis and may cause inaccuracies.,2
Wall and instance have different phasing settings. Automatic creation of the infilling wall fails.,3
